oid,order_date,revenue,uid
o_8322903758430,2019-07-21,715,1349234763404
o_3761945450776,2019-04-08,1404,5195920462450
o_7828018862815,2019-05-16,503,5195920462450
o_1399407046353,2019-05-26,759,5195920462450
o_5124397822719,2019-06-27,1659,5195920462450
o_9980387388179,2019-07-10,1633,5195920462450
o_6869113987622,2019-08-20,977,5195920462450
o_8666142665587,2019-01-27,1589,4445012702034
o_8329740980819,2019-03-11,1627,4445012702034
o_3493156746439,2019-04-22,1771,4445012702034
o_1254418025349,2019-05-24,1033,4445012702034
o_4352557785074,2019-06-07,1118,4445012702034
o_4045721164736,2019-07-17,574,4445012702034
o_3488134745887,2019-04-25,1436,1884143239386
o_3316397586414,2019-05-11,1458,1884143239386
o_4251937282137,2019-05-22,828,1884143239386
o_0481148311638,2019-06-11,607,1884143239386
o_2144178485202,2019-06-23,819,1884143239386
o_9108405717842,2019-07-27,490,7382324210765
o_3456142331996,2019-08-04,1064,7382324210765
o_8472020471870,2019-09-06,1712,7382324210765
o_7571356197803,2019-02-06,945,3552172173831
o_0174346544488,2019-03-06,1315,3552172173831
o_5934778987780,2019-03-19,411,3552172173831
o_6101987256825,2019-04-11,284,3552172173831
o_2724580754846,2019-04-26,486,3552172173831
o_9185083863733,2019-04-30,321,3552172173831
o_7808158812819,2019-05-07,759,5637229190226
o_7806982740506,2019-05-21,402,5637229190226
o_0086731291160,2019-06-02,389,5637229190226
o_6595199631974,2019-06-05,292,5637229190226
o_4768268202067,2019-07-15,1301,5637229190226
o_4713670206073,2019-08-05,268,5637229190226
o_4520316280713,2019-03-22,1633,0077559401381
o_4725951949111,2019-03-31,1263,0077559401381
o_2131962858090,2019-04-26,1626,0077559401381
o_1780007697555,2019-05-10,572,0077559401381
o_9917113981168,2019-06-16,761,0077559401381
o_3290559354458,2019-07-30,1345,0077559401381
o_9278477887658,2019-03-10,1728,0696042617384
o_8082456259432,2019-03-20,800,0696042617384
o_5004752490503,2019-04-22,1678,0696042617384
o_1339608373841,2019-04-23,1446,0696042617384
o_0350106460636,2019-06-03,1291,0696042617384
o_9835610596213,2019-07-15,1024,0696042617384
o_3109875675607,2019-02-06,1091,4486594349262
o_7423709223496,2019-02-27,741,4486594349262
o_6032101297526,2019-02-28,1353,4486594349262
o_7241325272076,2019-03-17,489,4486594349262
o_9529852660732,2019-04-16,462,4486594349262
o_6764816428413,2019-05-27,1409,4486594349262
o_0908739511883,2019-06-03,1153,3797882611161
o_5787307794973,2019-06-29,848,3797882611161
o_0795667513191,2019-07-31,295,3797882611161
o_0712113126026,2019-08-27,856,3797882611161
o_7998545956803,2019-08-16,920,6944110500101
o_9362359317118,2019-09-01,805,6944110500101
o_6276969781173,2019-04-21,829,8841409326009
o_0905652058433,2019-05-17,1315,8841409326009
o_2356866441197,2019-05-23,1367,8841409326009
o_0849675897986,2019-05-24,565,8841409326009
o_9566212029723,2019-06-07,1317,8841409326009
o_5957796661852,2019-07-08,1391,8841409326009
o_4281002625576,2019-05-31,690,8571588208147
o_4197844450316,2019-06-20,983,8571588208147
o_5574840179004,2019-06-23,1652,8571588208147
o_7883677768229,2019-07-31,1673,8571588208147
o_6257484661010,2019-07-04,429,8154758940995
o_0098273286634,2019-07-20,1142,8154758940995
o_7606213972634,2019-08-13,982,8154758940995
o_0028098875164,2019-04-08,764,9982438358261
o_1918671588033,2019-04-24,1490,9982438358261
o_2870451718940,2019-05-30,920,9982438358261
o_1790870501774,2019-06-17,870,9982438358261
o_7177108607721,2019-07-03,442,9982438358261
o_3741302573386,2019-07-30,985,9982438358261
o_1743020569780,2019-05-24,579,6414351840859
o_1792096029193,2019-06-14,554,6414351840859
o_3866589973916,2019-07-28,954,6414351840859
o_3996116774058,2019-08-07,569,6414351840859
o_4235087231245,2019-04-04,241,3071666235942
o_3182120271373,2019-04-11,1557,3071666235942
o_2111653676745,2019-05-15,1212,3071666235942
o_3864771911111,2019-05-31,1423,3071666235942
o_4912682828048,2019-06-07,235,3071666235942
o_7775322684094,2019-06-15,1613,3071666235942
o_4476603553575,2019-05-23,1174,6728659836828
o_2455370533975,2019-06-18,492,6728659836828
o_3305980117531,2019-06-21,1058,6728659836828
o_9531979023611,2019-08-01,346,6728659836828
o_3567697005116,2019-08-24,638,6728659836828
o_6027185657847,2019-07-20,1102,3639401631925
o_2921132033118,2019-07-27,1313,3639401631925
o_4992648577739,2019-08-17,948,3639401631925
o_8887150904158,2019-09-03,684,3639401631925
o_3652813340919,2019-09-05,735,7383173537652
o_6499691898371,2019-08-02,426,2232936949223
o_2335170592733,2019-08-18,1328,2232936949223
o_4864063718045,2019-08-06,1027,3044611602014
o_7147786146522,2019-08-26,1433,3044611602014
o_9741818668464,2019-04-19,1339,1366999788930
o_4166298156396,2019-05-08,1384,1366999788930
o_7323395446806,2019-05-28,1213,1366999788930
o_4773525461507,2019-07-04,497,1366999788930
o_1987604536205,2019-08-16,696,1366999788930
o_2352599682739,2019-03-08,516,7622346295419
o_3263842409692,2019-03-27,1112,7622346295419
o_0883355458784,2019-04-08,763,7622346295419
o_0165951621992,2019-05-13,554,7622346295419
o_4475562983935,2019-05-23,740,7622346295419
o_0020506333105,2019-06-12,1142,7622346295419
o_5723699896437,2019-08-17,1465,0383123527471
o_4264324059427,2019-02-28,648,4701403760114
o_0813584244186,2019-03-26,1256,4701403760114
o_8699665828603,2019-04-28,1566,4701403760114
o_0964612839383,2019-05-26,1530,4701403760114
o_0943239841610,2019-05-27,519,4701403760114
o_4638130025967,2019-06-10,692,4701403760114
o_9575283500031,2019-08-26,1407,3991490144831
o_8436761550614,2019-02-19,853,8832718719491
o_3390983477096,2019-03-02,996,8832718719491
o_8422727700780,2019-03-29,1302,8832718719491
o_5097025214890,2019-04-25,1292,8832718719491
o_7656598785534,2019-05-17,485,8832718719491
o_2779252607197,2019-06-30,232,8832718719491
o_0167720852224,2019-08-29,351,0729514846873
o_1139711714674,2019-06-29,796,1048565362255
o_1922624454481,2019-07-08,1330,1048565362255
o_6093453401481,2019-07-27,641,1048565362255
o_7907214330806,2019-08-25,610,1048565362255
o_5655174973459,2019-06-19,764,6466947138130
o_9682628224207,2019-07-31,1171,6466947138130
o_1703699827048,2019-08-24,1399,6466947138130
o_2163071616292,2019-07-29,945,9289169826763
o_9301078633093,2019-03-29,749,3235205856306
o_9773561804684,2019-04-11,1702,3235205856306
o_4888856016156,2019-05-09,639,3235205856306
o_2132703493488,2019-05-18,536,3235205856306
o_8885697350506,2019-05-21,1677,3235205856306
o_0951107011409,2019-05-27,954,3235205856306
o_9391019316994,2019-08-11,824,5744232400492
o_2724921491966,2019-09-05,477,1338816830092
o_0427096252227,2019-07-31,1095,4197824431083
o_4473688478519,2019-08-06,872,4197824431083
o_6281054444123,2019-08-09,767,4197824431083
o_1361296339397,2019-08-20,1280,4197824431083
o_6542250752529,2019-06-21,335,8551683950233
o_9308174931214,2019-08-02,1056,8551683950233
o_8741965188984,2019-09-02,1473,8551683950233
o_8245073260476,2019-09-07,899,8551683950233
o_5377542650952,2019-06-22,1015,1422483490939
o_0087656649302,2019-07-18,1223,1422483490939
o_1527108705518,2019-08-03,1429,1422483490939
o_2186791460891,2019-08-24,1476,1422483490939
o_9417617575905,2019-09-03,1194,3805483901762
o_5010315451669,2019-01-28,1625,3419656055376
o_2914146780772,2019-03-01,1661,3419656055376
o_0947020464736,2019-04-10,1319,3419656055376
o_4199959150525,2019-04-25,1006,3419656055376
o_8582364128566,2019-06-08,297,3419656055376
o_3849272852101,2019-06-21,700,3419656055376
o_4607043232038,2019-05-23,1637,0994406773272
o_7380259909051,2019-06-06,1190,0994406773272
o_8494053659698,2019-07-18,987,0994406773272
o_3227588712348,2019-07-19,1186,0994406773272
o_9089371181076,2019-08-02,958,0994406773272
o_5538023641160,2019-05-12,481,8851784240777
o_5068946246758,2019-06-04,1531,8851784240777
o_1860065219910,2019-07-02,993,8851784240777
o_9405275253372,2019-08-04,1449,8851784240777
o_6094712850613,2019-08-20,910,8851784240777
o_4480553001321,2019-08-16,1439,7997095742232
o_8610182371922,2019-09-03,1040,7997095742232
o_3249564063923,2019-08-28,471,6458368334796
o_5867095756381,2019-04-18,1461,0531567888379
o_6365617957142,2019-05-16,621,0531567888379
o_2037793711613,2019-06-18,712,0531567888379
o_1396067856667,2019-07-24,1680,0531567888379
o_4164841971847,2019-09-05,1141,0531567888379
o_9088263580706,2019-03-07,386,4062467575893
o_7136695429680,2019-03-20,249,4062467575893
o_9880073627301,2019-04-02,1430,4062467575893
o_1518536120257,2019-05-01,1731,4062467575893
o_9174791990848,2019-06-10,920,4062467575893
o_8647245403009,2019-06-22,1770,4062467575893
o_5748658052785,2019-04-12,414,0575027959919
o_1043812212369,2019-05-17,989,0575027959919
o_8073848317939,2019-06-29,1071,0575027959919
o_1034700031933,2019-07-15,1347,0575027959919
o_9742188540619,2019-07-15,571,0575027959919
o_2896833895184,2019-07-31,1094,0575027959919
o_2045481541404,2019-03-11,509,8425467082840
o_3317562052666,2019-03-17,1384,8425467082840
o_2420461072459,2019-04-10,795,8425467082840
o_0352362504796,2019-05-23,1050,8425467082840
o_1846155396808,2019-07-03,274,8425467082840
o_3335900725898,2019-07-18,827,8425467082840
o_1307004894321,2019-07-08,1365,4062726128549
o_4462512638199,2019-08-13,425,4062726128549
o_8272289362793,2019-08-10,1066,4116642513023
o_2981324040218,2019-03-18,479,1761793025937
o_0532676521652,2019-04-22,892,1761793025937
o_9590688625028,2019-05-21,442,1761793025937
o_5343155538109,2019-06-18,266,1761793025937
o_5669875383455,2019-08-01,982,1761793025937
o_5623978646596,2019-08-22,1577,1761793025937
o_7017363302675,2019-07-17,1386,2954532342412
o_1511816260056,2019-08-03,855,2954532342412
o_6581069985827,2019-08-19,1205,9912721188350
o_0596767851875,2019-08-28,901,9912721188350
o_6879304700633,2019-03-13,336,0180454711988
o_3210328655456,2019-04-24,1220,0180454711988
o_9598433002421,2019-05-27,558,0180454711988
o_0136294938863,2019-06-06,1086,0180454711988
o_4105816616332,2019-07-09,1751,0180454711988
o_6368290019282,2019-07-19,1223,0180454711988
o_1336245870443,2019-04-25,862,6165678702909
o_2826407460050,2019-05-13,1163,6165678702909
o_4972633206479,2019-05-20,1557,6165678702909
o_2495783213743,2019-07-01,1431,6165678702909
o_0739879828940,2019-08-09,532,6165678702909
o_3862279204889,2019-08-27,1496,6165678702909
o_2054500065531,2019-04-01,671,1411754795552
o_5372531107783,2019-05-15,985,1411754795552
o_1472633180074,2019-06-07,657,1411754795552
o_2308640243541,2019-07-16,1282,1411754795552
o_5982396565323,2019-08-27,302,1411754795552
o_8663169165540,2019-08-29,1337,1411754795552
o_0518706447796,2019-05-21,732,3894099206897
o_6227604509027,2019-06-15,746,3894099206897
o_1539047433889,2019-07-01,1145,3894099206897
o_3350327870952,2019-08-11,1716,3894099206897
o_0331695079546,2019-08-22,1515,3894099206897
o_1922494066340,2019-08-03,419,5408161668933
o_3669908868692,2019-08-08,493,5408161668933
o_8822364832446,2019-07-15,316,0618927812219
o_0843225664882,2019-07-23,443,0618927812219
o_9859552836756,2019-08-09,797,0618927812219
o_7932109072196,2019-07-25,357,9916585856028
o_8223711669591,2019-08-08,381,9916585856028
o_9577061763836,2019-08-28,1491,9916585856028
o_0041591359870,2019-03-24,604,4145371444469
o_3627748156386,2019-04-17,1540,4145371444469
o_2447426585397,2019-05-29,494,4145371444469
o_0622479168823,2019-06-02,1647,4145371444469
o_8854449647621,2019-06-24,1393,4145371444469
o_6531730042113,2019-07-25,659,4145371444469
o_8764765627231,2019-02-25,1107,4090021925860
o_6124775118990,2019-03-18,374,4090021925860
o_2729044441423,2019-04-04,241,4090021925860
o_3014629043154,2019-05-17,765,4090021925860
o_4494212196471,2019-06-22,487,4090021925860
o_8465230704531,2019-07-30,526,4090021925860
o_5084509942301,2019-07-28,1341,0545914817288
o_7673460652343,2019-07-30,244,0545914817288
o_8730107364775,2019-09-03,1460,0545914817288
o_3836925871978,2019-09-05,1769,0545914817288
o_4134127959135,2019-08-23,1753,0417763221373
o_3924287548864,2019-06-06,1134,8410279135549
o_4795051897223,2019-06-13,1534,8410279135549
o_9790067566885,2019-07-06,1457,8410279135549
o_3878643907010,2019-07-16,1263,8410279135549
o_9683842485986,2019-03-24,557,7828794068074
o_7358263745422,2019-04-26,328,7828794068074
o_8921829721421,2019-06-01,524,7828794068074
o_0310160729025,2019-06-23,616,7828794068074
o_1903941564220,2019-07-16,1618,7828794068074
o_1385400535673,2019-08-09,821,7828794068074
o_9396779965802,2019-07-09,856,5428347154708
o_5874894766398,2019-08-19,1653,5428347154708
o_3582273121318,2019-08-27,964,5428347154708
o_3606737063898,2019-09-05,1108,5428347154708
o_5778697616358,2019-08-18,1353,4549388022724
o_5605384215856,2019-08-03,404,0135815649080
o_9112184779700,2019-08-12,1008,0135815649080
o_5421340532863,2019-08-12,1054,0135815649080
o_7564041769911,2019-04-06,712,4818146266862
o_9488652175153,2019-05-08,366,4818146266862
o_4448842662233,2019-05-09,513,4818146266862
o_2304847862158,2019-05-15,575,4818146266862
o_4948015835346,2019-05-19,1076,4818146266862
o_0084295362340,2019-06-07,1056,4818146266862
o_1067546465617,2019-09-05,1274,1313365092085
o_0640551561799,2019-06-15,1369,7289121903404
o_0163430673821,2019-07-06,681,7289121903404
o_7351800500713,2019-07-08,1650,7289121903404
o_9627154739375,2019-07-09,397,7289121903404
o_1544267138704,2019-04-23,409,7677133817367
o_2027367733011,2019-04-27,470,7677133817367
o_0228616439896,2019-04-30,304,7677133817367
o_3279268482324,2019-06-05,279,7677133817367
o_2941122416844,2019-06-13,483,7677133817367
o_2673590996633,2019-07-23,1766,3618427232170
o_4396508358795,2019-08-08,908,3618427232170
o_3068973016678,2019-09-04,1344,3618427232170
o_4549760706853,2019-03-11,1413,2753283195229
o_1919992849308,2019-04-13,254,2753283195229
o_8574565976398,2019-05-10,1178,2753283195229
o_1910828443721,2019-06-12,433,2753283195229
o_2942720754055,2019-06-14,1002,2753283195229
o_1219879435649,2019-06-18,1260,2753283195229
o_7770857285723,2019-08-31,652,9042909943720
o_0954439131425,2019-03-14,238,0715948162771
o_4454850166984,2019-03-15,462,0715948162771
o_8310286891738,2019-03-28,639,0715948162771
o_5837674038177,2019-04-27,713,0715948162771
o_8728156856518,2019-05-14,289,0715948162771
o_3658638127728,2019-05-15,925,0715948162771
o_0705546024625,2019-05-16,1720,4467712173440
o_0557677856848,2019-06-09,860,4467712173440
o_0359251428430,2019-07-23,679,4467712173440
o_0008192312147,2019-08-24,976,4467712173440
o_8328272400079,2019-01-25,1602,0540733940650
o_9596260922257,2019-02-10,1718,0540733940650
o_4355158775437,2019-03-06,950,0540733940650
o_4264822109570,2019-03-10,492,0540733940650
o_8603106843841,2019-03-12,1584,0540733940650
o_4399339381277,2019-04-06,919,0540733940650
o_4628894037221,2019-02-23,615,7696491688563
o_1634606372330,2019-04-04,804,7696491688563
o_5003693275811,2019-05-12,993,7696491688563
o_8236454826961,2019-05-18,1146,7696491688563
o_5137107242059,2019-06-20,1729,7696491688563
o_1400408289837,2019-07-01,1067,7696491688563
o_0663282093292,2019-08-05,279,6735648014839
o_0612073922068,2019-08-27,1142,6735648014839
o_9015189179332,2019-02-16,1484,2792227494271
o_5709071176618,2019-03-27,309,2792227494271
o_7511673283575,2019-04-06,896,2792227494271
o_4576484703318,2019-05-20,1128,2792227494271
o_6871859235653,2019-05-27,1351,2792227494271
o_1269796956833,2019-06-27,695,2792227494271
o_3479357676935,2019-02-21,797,4214689494470
o_6029956256785,2019-02-23,1569,4214689494470
o_9149769590535,2019-03-11,974,4214689494470
o_9484005012458,2019-04-07,796,4214689494470
o_8165530385118,2019-05-10,403,4214689494470
o_4457288201654,2019-06-23,427,4214689494470
o_4146242284443,2019-06-21,1369,5948788780453
o_6393062328118,2019-07-30,956,5948788780453
o_2884954256380,2019-08-22,1262,5948788780453
o_4636446500307,2019-07-24,1337,6003345385737
o_6351189993459,2019-07-25,1775,6003345385737
o_4470688471724,2019-08-29,1485,6003345385737
o_4212463826219,2019-07-10,1326,3017631762136
o_0743460381370,2019-08-16,394,3017631762136
o_5768833854829,2019-08-19,733,3017631762136
o_9026585736333,2019-03-14,303,9772647892768
o_7965852031882,2019-04-11,228,9772647892768
o_9515554899006,2019-05-17,1245,9772647892768
o_3911497269702,2019-06-09,1679,9772647892768
o_0637572213080,2019-06-20,1411,9772647892768
o_1786177230776,2019-07-12,1404,9772647892768
o_6961632296602,2019-08-13,579,3399586667316
o_2761853317667,2019-08-25,1460,3399586667316
o_6929113259706,2019-08-30,849,8481072044093
o_9036379844533,2019-08-25,1253,4650833688942
o_3783751262251,2019-08-29,1012,4650833688942
o_2764670341242,2019-02-19,1581,6210355540494
o_4566506918356,2019-02-20,968,6210355540494
o_3945006061068,2019-03-22,1271,6210355540494
o_9751403751259,2019-04-26,331,6210355540494
o_7499128885522,2019-05-10,1630,6210355540494
o_3825481097137,2019-06-11,1017,6210355540494
o_0956763446138,2019-08-03,296,9422670045111
o_6104938226342,2019-05-05,652,2193975622785
o_4765363104555,2019-05-23,355,2193975622785
o_1729779573636,2019-07-04,569,2193975622785
o_6506127107317,2019-07-08,512,2193975622785
o_2976111824782,2019-07-26,656,2193975622785
o_4391898124289,2019-07-20,691,3858814195033
o_7447716903271,2019-09-02,735,3858814195033
o_3337758816629,2019-04-23,1057,3101662164110
o_8535870622622,2019-06-02,963,3101662164110
o_1654702772490,2019-06-19,252,3101662164110
o_5631711044844,2019-07-31,427,3101662164110
o_2132843005602,2019-09-06,1392,3101662164110
o_8809843046549,2019-07-07,979,2213004331492
o_7664681972563,2019-07-30,852,2213004331492
o_6737539561620,2019-08-10,559,2213004331492
o_1206004124806,2019-08-20,576,2213004331492
o_7420066180882,2019-05-01,895,7205561765167
o_8745999687215,2019-05-20,959,7205561765167
o_4095182024766,2019-06-08,1265,7205561765167
o_5749925490408,2019-06-13,1560,7205561765167
o_4399725859144,2019-07-03,1149,7205561765167
o_4663642008108,2019-07-09,548,8731318299887
o_8737212611855,2019-07-13,1449,8731318299887
o_1089523547345,2019-08-18,587,8731318299887
o_5277675700961,2019-08-20,965,8731318299887
o_0159279542527,2019-05-19,816,1057982629957
o_2280114184324,2019-07-02,1256,1057982629957
o_3431268418851,2019-07-25,303,1057982629957
o_3392187931688,2019-08-22,1074,1057982629957
o_7878570413390,2019-08-21,1179,2623105662300
o_9540214313332,2019-08-23,281,2623105662300
o_2900864838666,2019-08-24,1597,2623105662300
o_7875541757385,2019-04-23,1544,9362033486895
o_1914801974547,2019-05-23,1488,9362033486895
o_1020784871442,2019-07-02,688,9362033486895
o_9583436132619,2019-07-03,363,9362033486895
o_1676588232103,2019-07-28,493,9362033486895
o_9654051112161,2019-05-24,1501,9888765719426
o_6932678392733,2019-06-16,827,9888765719426
o_4126157080965,2019-06-29,1507,9888765719426
o_8848991317088,2019-08-02,337,9888765719426
o_3794053464571,2019-05-04,288,5549232376736
o_8742159807193,2019-06-17,610,5549232376736
o_4989756329275,2019-06-21,741,5549232376736
o_3990862842344,2019-07-15,1653,5549232376736
o_6575845344304,2019-08-19,1027,5549232376736
o_9853668895652,2019-05-08,556,8719964082466
o_4493052053951,2019-05-22,578,8719964082466
o_1642317566061,2019-05-24,885,8719964082466
o_0794037615404,2019-06-06,771,8719964082466
o_8731231333217,2019-03-26,1264,6230626468449
o_6100236773595,2019-04-10,379,6230626468449
o_8166480058213,2019-04-14,751,6230626468449
o_6927632552629,2019-05-01,946,6230626468449
o_6265322581178,2019-05-14,485,6230626468449
o_8969706246223,2019-06-22,775,6230626468449
o_2909422121745,2019-07-27,1650,2748801827584
o_7177312510541,2019-08-22,584,2748801827584
o_3715462489191,2019-06-12,836,0292946594600
o_0723778811738,2019-07-22,1329,0292946594600
o_4244967047869,2019-08-17,1394,0292946594600
o_6713402893661,2019-04-04,372,9931178561141
o_7829465932243,2019-04-04,649,9931178561141
o_0830809629894,2019-05-11,1308,9931178561141
o_7818267542095,2019-05-25,1391,9931178561141
o_7763519839495,2019-07-02,859,9931178561141
o_9755631373009,2019-07-03,1564,9931178561141
o_6343858621152,2019-06-11,572,7441888832339
o_0781252748093,2019-07-06,1146,7441888832339
o_0514504606236,2019-08-04,1131,7441888832339
o_4748741186794,2019-08-29,1367,1577545277758
o_5468927806375,2019-07-28,1576,5584271773900
o_9769295089824,2019-08-20,1517,5584271773900
o_6145285443822,2019-07-10,491,0822794357470
o_6870715805702,2019-08-23,805,0822794357470
o_3016426382108,2019-06-25,801,9493669693286
o_5706258075313,2019-07-03,1704,9493669693286
o_9985325772508,2019-07-27,1721,9493669693286
o_3518063961840,2019-08-22,884,9493669693286
o_6354450899146,2019-05-27,1433,6275131256723
o_9754835770836,2019-07-01,450,6275131256723
o_1141079961713,2019-08-08,1270,6275131256723
o_9183324849386,2019-01-21,1526,2069737958693
o_8795945060982,2019-02-21,1618,2069737958693
o_3121052213617,2019-03-23,1426,2069737958693
o_0562940775481,2019-03-24,861,2069737958693
o_5190328055433,2019-04-21,1193,2069737958693
o_1197048789635,2019-05-01,1251,2069737958693
o_4039632728286,2019-05-03,1682,3786912574897
o_2170616503504,2019-05-03,595,3786912574897
o_3904843854226,2019-06-05,872,3786912574897
o_3335275047540,2019-07-06,1741,3786912574897
o_1219189966178,2019-08-02,280,3786912574897
o_9862748563107,2019-07-14,1432,2082601104187
o_5313199903256,2019-07-30,1736,2082601104187
o_7658258455542,2019-08-16,560,2082601104187
o_1953061244472,2019-03-14,1687,4547703203223
o_6965783737106,2019-03-27,460,4547703203223
o_5477599090951,2019-04-19,1493,4547703203223
o_8093616659900,2019-04-20,1254,4547703203223
o_6266408254443,2019-05-04,407,4547703203223
o_2208726154955,2019-05-09,297,4547703203223
o_5330846216149,2019-07-31,314,7968093900054
o_3642226417865,2019-08-16,1545,7968093900054
o_0894233145603,2019-08-24,567,7968093900054
o_1253668047897,2019-07-04,1186,4575368897488
o_0658637470729,2019-07-05,1165,4575368897488
o_5561065503011,2019-08-08,1772,4575368897488
o_9392164581992,2019-08-23,234,4575368897488
o_6943148170843,2019-02-22,480,2794026894528
o_8074805518352,2019-03-18,594,2794026894528
o_9462079665435,2019-04-01,1615,2794026894528
o_5456197429455,2019-05-05,990,2794026894528
o_7711143414397,2019-05-19,620,2794026894528
o_5589753050128,2019-06-23,1307,2794026894528
o_4219197693742,2019-04-12,407,3598758112146
o_4264703121813,2019-05-11,495,3598758112146
o_6100905493250,2019-05-14,1191,3598758112146
o_7647144042560,2019-06-11,477,3598758112146
o_5628678673835,2019-07-11,927,3598758112146
o_1942922986170,2019-07-16,1015,3598758112146
o_7728745651419,2019-04-17,1664,3284750543766
o_0685062416503,2019-04-24,493,3284750543766
o_8908037268122,2019-04-28,891,3284750543766
o_0272409811130,2019-05-16,1502,3284750543766
o_4598611725048,2019-06-13,1359,3284750543766
o_3518414342939,2019-08-20,754,4839504383250
o_9842125584666,2019-08-31,618,4839504383250
o_6204501304276,2019-08-15,1681,9372454702306
o_9484567010817,2019-08-21,1425,9372454702306
o_0681273639991,2019-08-21,877,9372454702306
